InvoiceId,ChargePeriodStart,ChargePeriodEnd,ProviderName,ServiceName,ConsumedQuantity,ConsumedUnit,PricingCurrency,PricingCurrencyListUnitPrice,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,BillingCurrency,ListCost,EffectiveCost,BillingAccountId,BillingAccountType,SubAccountType,RegionId
AWS-2011,2024-06-15,2024-06-16,AWS,EC2,47,Hours,USD,0.49,0.42,19.73,USD,24.52,19.56,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-4351,2024-06-15,2024-06-16,AWS,S3,79,Hours,USD,1.43,1.26,99.25,USD,114.24,87.6,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-9625,2024-06-15,2024-06-16,AWS,Lambda,58,Hours,USD,2.77,2.68,155.52,USD,161.46,113.91,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-6015,2024-06-15,2024-06-16,Azure,VM,83,Hours,USD,0.69,0.59,48.93,USD,59.07,52.58,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-7228,2024-06-15,2024-06-16,Azure,Blob Storage,22,Hours,USD,3.2,2.79,61.38,USD,73.8,61.58,Az-Account,Billing Account,Subscription,Azure-us-east-1
AZU-4196,2024-06-15,2024-06-16,Azure,Functions,44,Hours,USD,2.54,2.27,99.84,USD,118.89,87.15,Az-Account,Billing Account,Subscription,Azure-us-east-1
GCP-9192,2024-06-15,2024-06-16,GCP,Compute Engine,12,Hours,USD,18.58,16.21,194.49,USD,223.84,191.94,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-9422,2024-06-15,2024-06-16,GCP,Cloud Storage,67,Hours,USD,0.39,0.34,22.8,USD,28.48,25.6,GC-Account,Billing Account,Project,GCP-us-east-1
GCP-3145,2024-06-15,2024-06-16,GCP,Cloud Functions,89,Hours,USD,2.34,2.15,191.79,USD,223.88,183.55,GC-Account,Billing Account,Project,GCP-us-east-1
SNO-5967,2024-06-15,2024-06-16,Snowflake,Warehouse,81,Credit,USD,1.95,1.79,145.17,USD,169.05,140.32,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
SNO-2387,2024-06-15,2024-06-16,Snowflake,Storage,91,Credit,USD,2.08,1.82,165.22,USD,194.76,138.19,Sn-Account,Billing Account,Subscription,Snowflake-us-east-1
DAT-6379,2024-06-15,2024-06-16,Databricks,Jobs,76,Credit,USD,1.33,1.15,87.36,USD,104.76,79.66,Da-Account,Billing Account,Subscription,Databricks-us-east-1
DAT-7779,2024-06-15,2024-06-16,Databricks,Clusters,60,Credit,USD,1.21,1.06,63.43,USD,76.81,67.69,Da-Account,Billing Account,Subscription,Databricks-us-east-1
OPE-3463,2024-06-15,2024-06-16,OpenAI,GPT-4 API,67,Credit,USD,0.99,0.92,61.42,USD,67.56,59.57,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
OPE-3034,2024-06-15,2024-06-16,OpenAI,Embedding API,92,Credit,USD,3.03,2.74,251.81,USD,296.14,258.71,Op-Account,Billing Account,Subscription,OpenAI-us-east-1
AWS-1894,2024-06-16,2024-06-17,AWS,EC2,70,Hours,USD,3.15,3.02,211.15,USD,237.31,195.1,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-2103,2024-06-16,2024-06-17,AWS,S3,19,Hours,USD,4.88,4.55,86.47,USD,95.64,79.19,AW-Account,Payer Account,Subscription,AWS-us-east-1
AWS-1003,2024-06-16,2024-06-17,AWS,Lambda,71,Hours,USD,3.44,3.11,220.61,USD,255.86,195.82,AW-Account,Payer Account,Subscription,AWS-us-east-1
AZU-6917,2024-06-16,2024-06-17,Azure,VM,83,Hours,USD,1.89,1.62,134.45,USD,164.8,140.21,Az-Account,Billing Account,Subscription,Azure-us-east-1
